haploblock_id	chrom	start	end	n_snps	n_clusters	hash_length	cluster_diff_score
chr1_9450869_9473179	chr1	9450869	9473179			20	
chr1_9473179_9496002	chr1	9473179	9496002			20	
chr1_9496002_9515653	chr1	9496002	9515653			20	
chr1_9515653_9631661	chr1	9515653	9631661			20	
chr1_9631661_9639319	chr1	9631661	9639319			20	
chr1_9639319_9694823	chr1	9639319	9694823			20	
chr1_9694823_9838135	chr1	9694823	9838135			20	
chr1_9838135_9910413	chr1	9838135	9910413			20	
chr1_9910413_10023878	chr1	9910413	10023878			20	
chr1_10023878_10175888	chr1	10023878	10175888			20	
chr1_10175888_10424113	chr1	10175888	10424113			20	
chr1_10424113_10583662	chr1	10424113	10583662			20	
chr1_10583662_10629885	chr1	10583662	10629885			20	
chr1_10629885_10702147	chr1	10629885	10702147			20	
chr1_10702147_10717203	chr1	10702147	10717203			20	
chr1_10717203_10743471	chr1	10717203	10743471			20	
chr1_10743471_10754383	chr1	10743471	10754383			20	
chr1_10754383_10782329	chr1	10754383	10782329			20	
chr1_10782329_10799261	chr1	10782329	10799261			20	
chr1_10799261_10827148	chr1	10799261	10827148			20	
chr1_10827148_10851272	chr1	10827148	10851272			20	
chr1_10851272_10874817	chr1	10851272	10874817			20	
chr1_10874817_10905343	chr1	10874817	10905343			20	
chr1_10905343_10933117	chr1	10905343	10933117			20	
chr1_10933117_10947998	chr1	10933117	10947998			20	
chr1_10947998_10969421	chr1	10947998	10969421			20	
chr1_10969421_10994596	chr1	10969421	10994596			20	
chr1_10994596_11329978	chr1	10994596	11329978			20	
chr1_11329978_11367600	chr1	11329978	11367600			20	
chr1_11367600_11430687	chr1	11367600	11430687			20	
chr1_11430687_11526939	chr1	11430687	11526939			20	
chr1_11526939_11559582	chr1	11526939	11559582			20	
chr1_11559582_11592148	chr1	11559582	11592148			20	
chr1_11592148_11611007	chr1	11592148	11611007			20	
chr1_11611007_11651323	chr1	11611007	11651323			20	
chr1_11651323_11667863	chr1	11651323	11667863			20	
chr1_11667863_11692083	chr1	11667863	11692083			20	
chr1_11692083_11716139	chr1	11692083	11716139			20	
chr1_11716139_11736183	chr1	11716139	11736183			20	
chr1_11736183_11763099	chr1	11736183	11763099			20	
chr1_11763099_11853700	chr1	11763099	11853700			20	
chr1_11853700_11878809	chr1	11853700	11878809			20	
chr1_11878809_11926564	chr1	11878809	11926564			20	
chr1_11926564_12015506	chr1	11926564	12015506			20	
chr1_12015506_12054235	chr1	12015506	12054235			20	
chr1_12054235_12097824	chr1	12054235	12097824			20	
chr1_12097824_12116740	chr1	12097824	12116740			20	
chr1_12116740_12138578	chr1	12116740	12138578			20	
chr1_12138578_12180767	chr1	12138578	12180767			20	
chr1_12180767_12207235	chr1	12180767	12207235			20	
chr1_12207235_12407567	chr1	12207235	12407567			20	
chr1_12407567_12527631	chr1	12407567	12527631			20	
chr1_12527631_12543232	chr1	12527631	12543232			20	
chr1_12543232_12589320	chr1	12543232	12589320			20	
chr1_12589320_12609748	chr1	12589320	12609748			20	
chr1_12609748_12615956	chr1	12609748	12615956			20	
chr1_12615956_12627807	chr1	12615956	12627807			20	
chr1_12627807_12710318	chr1	12627807	12710318			20	
chr1_12710318_12717928	chr1	12710318	12717928			20	
chr1_12717928_12769849	chr1	12717928	12769849			20	
chr1_12769849_12807124	chr1	12769849	12807124			20	
chr1_12807124_13376677	chr1	12807124	13376677			20	
chr1_13376677_13417181	chr1	13376677	13417181			20	
chr1_13417181_13446109	chr1	13417181	13446109			20	
chr1_13446109_13481690	chr1	13446109	13481690			20	
chr1_13481690_13493080	chr1	13481690	13493080			20	
chr1_13493080_13516186	chr1	13493080	13516186			20	
chr1_13516186_13542578	chr1	13516186	13542578			20	
chr1_13542578_13569479	chr1	13542578	13569479			20	
chr1_13569479_13578723	chr1	13569479	13578723			20	
chr1_13578723_13604664	chr1	13578723	13604664			20	
chr1_13604664_13621842	chr1	13604664	13621842			20	
chr1_13621842_13630519	chr1	13621842	13630519			20	
chr1_13630519_13803003	chr1	13630519	13803003			20	
chr1_13803003_13832260	chr1	13803003	13832260			20	
chr1_13832260_13844386	chr1	13832260	13844386			20	
chr1_13844386_13877514	chr1	13844386	13877514			20	
chr1_13877514_13913797	chr1	13877514	13913797			20	
chr1_13913797_13954956	chr1	13913797	13954956			20	
chr1_13954956_13975307	chr1	13954956	13975307			20	
chr1_13975307_14026700	chr1	13975307	14026700			20	
chr1_14026700_14066132	chr1	14026700	14066132			20	
chr1_14066132_14114856	chr1	14066132	14114856			20	
chr1_14114856_14139590	chr1	14114856	14139590			20	
chr1_14139590_14181195	chr1	14139590	14181195			20	
chr1_14181195_14262226	chr1	14181195	14262226			20	
chr1_14262226_14299469	chr1	14262226	14299469			20	
chr1_14299469_14325023	chr1	14299469	14325023			20	
chr1_14325023_14364916	chr1	14325023	14364916			20	
chr1_14364916_14380313	chr1	14364916	14380313			20	
chr1_14380313_14393794	chr1	14380313	14393794			20	
chr1_14393794_14406664	chr1	14393794	14406664			20	
chr1_14406664_14466753	chr1	14406664	14466753			20	
chr1_14466753_14551306	chr1	14466753	14551306			20	
chr1_14551306_14603075	chr1	14551306	14603075			20	
chr1_14603075_14668759	chr1	14603075	14668759			20	
chr1_14668759_14733452	chr1	14668759	14733452			20	
chr1_14733452_14773226	chr1	14733452	14773226			20	
chr1_14773226_14801973	chr1	14773226	14801973			20	
chr1_14801973_14827510	chr1	14801973	14827510			20	
chr1_14827510_14855657	chr1	14827510	14855657			20	
chr1_14855657_14866420	chr1	14855657	14866420			20	
chr1_14866420_14888678	chr1	14866420	14888678			20	
chr1_14888678_14946249	chr1	14888678	14946249			20	
chr1_14946249_14985000	chr1	14946249	14985000			20	
chr1_14985000_15021926	chr1	14985000	15021926			20	
chr1_15021926_15046542	chr1	15021926	15046542			20	
chr1_15046542_15099573	chr1	15046542	15099573			20	
chr1_15099573_15123295	chr1	15099573	15123295			20	
chr1_15123295_15180914	chr1	15123295	15180914			20	
chr1_15180914_15211362	chr1	15180914	15211362			20	
chr1_15211362_15244771	chr1	15211362	15244771			20	
chr1_15244771_15293528	chr1	15244771	15293528			20	
chr1_15293528_15322535	chr1	15293528	15322535			20	
chr1_15322535_15360068	chr1	15322535	15360068			20	
chr1_15360068_15419366	chr1	15360068	15419366			20	
chr1_15419366_15470313	chr1	15419366	15470313			20	
chr1_15470313_15742120	chr1	15470313	15742120			20	
chr1_15742120_15799466	chr1	15742120	15799466			20	
chr1_15799466_16040454	chr1	15799466	16040454			20	
chr1_16040454_16052154	chr1	16040454	16052154			20	
chr1_16052154_16116736	chr1	16052154	16116736			20	
chr1_16116736_16165566	chr1	16116736	16165566			20	
chr1_16165566_16220471	chr1	16165566	16220471			20	
chr1_16220471_16407941	chr1	16220471	16407941			20	
chr1_16407941_16479926	chr1	16407941	16479926			20	
chr1_16479926_16857205	chr1	16479926	16857205			20	
chr1_16857205_16975177	chr1	16857205	16975177			20	
chr1_16975177_17010026	chr1	16975177	17010026			20	
chr1_17010026_17104073	chr1	17010026	17104073			20	
chr1_17104073_17134576	chr1	17104073	17134576			20	
chr1_17134576_17171239	chr1	17134576	17171239			20	
chr1_17171239_17214200	chr1	17171239	17214200			20	
chr1_17214200_17222032	chr1	17214200	17222032			20	
chr1_17222032_17229436	chr1	17222032	17229436			20	
chr1_17229436_17236721	chr1	17229436	17236721			20	
chr1_17236721_17271815	chr1	17236721	17271815			20	
chr1_17271815_17310923	chr1	17271815	17310923			20	
chr1_17310923_17352277	chr1	17310923	17352277			20	
chr1_17352277_17381263	chr1	17352277	17381263			20	
chr1_17381263_17475388	chr1	17381263	17475388			20	
chr1_17475388_17548912	chr1	17475388	17548912			20	
chr1_17548912_17583006	chr1	17548912	17583006			20	
chr1_17583006_17593322	chr1	17583006	17593322			20	
chr1_17593322_17640351	chr1	17593322	17640351			20	
chr1_17640351_17694158	chr1	17640351	17694158			20	
chr1_17694158_17718017	chr1	17694158	17718017			20	
chr1_17718017_17758795	chr1	17718017	17758795			20	
chr1_17758795_17784206	chr1	17758795	17784206			20	
chr1_17784206_17805774	chr1	17784206	17805774			20	
chr1_17805774_17825352	chr1	17805774	17825352			20	
chr1_17825352_17856722	chr1	17825352	17856722			20	
chr1_17856722_17884014	chr1	17856722	17884014			20	
chr1_17884014_17937863	chr1	17884014	17937863			20	
chr1_17937863_17950986	chr1	17937863	17950986			20	
chr1_17950986_17996991	chr1	17950986	17996991			20	
chr1_17996991_18006620	chr1	17996991	18006620			20	
chr1_18006620_18028918	chr1	18006620	18028918			20	
chr1_18028918_18066997	chr1	18028918	18066997			20	
chr1_18066997_18101121	chr1	18066997	18101121			20	
chr1_18101121_18113497	chr1	18101121	18113497			20	
chr1_18113497_18133212	chr1	18113497	18133212			20	
chr1_18133212_18161316	chr1	18133212	18161316			20	
chr1_18161316_18164093	chr1	18161316	18164093			20	
chr1_18164093_18186489	chr1	18164093	18186489			20	
chr1_18186489_18227851	chr1	18186489	18227851			20	
chr1_18227851_18243016	chr1	18227851	18243016			20	
chr1_18243016_18253174	chr1	18243016	18253174			20	
chr1_18253174_18283612	chr1	18253174	18283612			20	
chr1_18283612_18319588	chr1	18283612	18319588			20	
chr1_18319588_18336987	chr1	18319588	18336987			20	
chr1_18336987_18377178	chr1	18336987	18377178			20	
chr1_18377178_18407223	chr1	18377178	18407223			20	
chr1_18407223_18440319	chr1	18407223	18440319			20	
chr1_18440319_18454102	chr1	18440319	18454102			20	
chr1_18454102_18488551	chr1	18454102	18488551			20	
chr1_18488551_18545596	chr1	18488551	18545596			20	
chr1_18545596_18578075	chr1	18545596	18578075			20	
chr1_18578075_18597677	chr1	18578075	18597677			20	
chr1_18597677_18634767	chr1	18597677	18634767			20	
chr1_18634767_18677099	chr1	18634767	18677099			20	
chr1_18677099_18705778	chr1	18677099	18705778			20	
chr1_18705778_18718383	chr1	18705778	18718383			20	
chr1_18718383_18724413	chr1	18718383	18724413			20	
chr1_18724413_18732251	chr1	18724413	18732251			20	
chr1_18732251_18779086	chr1	18732251	18779086			20	
chr1_18779086_18807496	chr1	18779086	18807496			20	
chr1_18807496_18852250	chr1	18807496	18852250			20	
chr1_18852250_18878764	chr1	18852250	18878764			20	
chr1_18878764_18913701	chr1	18878764	18913701			20	
chr1_18913701_18964100	chr1	18913701	18964100			20	
chr1_18964100_19064683	chr1	18964100	19064683			20	
chr1_19064683_19238844	chr1	19064683	19238844			20	
chr1_19238844_19319942	chr1	19238844	19319942			20	
chr1_19319942_19353625	chr1	19319942	19353625			20	
chr1_19353625_19471691	chr1	19353625	19471691			20	
chr1_19471691_19492004	chr1	19471691	19492004			20	
chr1_19492004_19561827	chr1	19492004	19561827			20	
chr1_19561827_19648300	chr1	19561827	19648300			20	
chr1_19648300_19661236	chr1	19648300	19661236			20	
chr1_19661236_19700265	chr1	19661236	19700265			20	
chr1_19700265_19734895	chr1	19700265	19734895			20	
chr1_19734895_19783943	chr1	19734895	19783943			20	
chr1_19783943_19813769	chr1	19783943	19813769			20	
chr1_19813769_19820452	chr1	19813769	19820452			20	
chr1_19820452_19834595	chr1	19820452	19834595			20	
chr1_19834595_19923113	chr1	19834595	19923113			20	
chr1_19923113_19956239	chr1	19923113	19956239			20	
chr1_19956239_19978292	chr1	19956239	19978292			20	
chr1_19978292_20110578	chr1	19978292	20110578			20	
chr1_20110578_20120908	chr1	20110578	20120908			20	
chr1_20120908_20141662	chr1	20120908	20141662			20	
chr1_20141662_20176433	chr1	20141662	20176433			20	
chr1_20176433_20230269	chr1	20176433	20230269			20	
chr1_20230269_20278881	chr1	20230269	20278881			20	
chr1_20278881_20309229	chr1	20278881	20309229			20	
chr1_20309229_20390322	chr1	20309229	20390322			20	
chr1_20390322_20435789	chr1	20390322	20435789			20	
chr1_20435789_20477278	chr1	20435789	20477278			20	
chr1_20477278_20557029	chr1	20477278	20557029			20	
chr1_20557029_20588948	chr1	20557029	20588948			20	
chr1_20588948_20683895	chr1	20588948	20683895			20	
chr1_20683895_20702739	chr1	20683895	20702739			20	
chr1_20702739_20728146	chr1	20702739	20728146			20	
chr1_20728146_21208837	chr1	20728146	21208837			20	
chr1_21208837_21246878	chr1	21208837	21246878			20	
chr1_21246878_21340133	chr1	21246878	21340133			20	
chr1_21340133_21410405	chr1	21340133	21410405			20	
chr1_21410405_21497136	chr1	21410405	21497136			20	
chr1_21497136_21522219	chr1	21497136	21522219			20	
chr1_21522219_21601851	chr1	21522219	21601851			20	
chr1_21601851_21653456	chr1	21601851	21653456			20	
chr1_21653456_21680086	chr1	21653456	21680086			20	
chr1_21680086_21817172	chr1	21680086	21817172			20	
chr1_21817172_21858967	chr1	21817172	21858967			20	
chr1_21858967_21958002	chr1	21858967	21958002			20	
chr1_21958002_22019911	chr1	21958002	22019911			20	
chr1_22019911_22151433	chr1	22019911	22151433			20	
chr1_22151433_22167179	chr1	22151433	22167179			20	
chr1_22167179_22186354	chr1	22167179	22186354			20	
chr1_22186354_22248683	chr1	22186354	22248683			20	
chr1_22248683_22268463	chr1	22248683	22268463			20	
chr1_22268463_22296020	chr1	22268463	22296020			20	
chr1_22296020_22325086	chr1	22296020	22325086			20	
chr1_22325086_22386590	chr1	22325086	22386590			20	
chr1_22386590_22411096	chr1	22386590	22411096			20	
chr1_22411096_22540413	chr1	22411096	22540413			20	
chr1_22540413_22563354	chr1	22540413	22563354			20	
chr1_22563354_22591066	chr1	22563354	22591066			20	
chr1_22591066_22631825	chr1	22591066	22631825			20	
chr1_22631825_22704958	chr1	22631825	22704958			20	
chr1_22704958_22760390	chr1	22704958	22760390			20	
chr1_22760390_22775195	chr1	22760390	22775195			20	
chr1_22775195_22802742	chr1	22775195	22802742			20	
chr1_22802742_22858097	chr1	22802742	22858097			20	
chr1_22858097_22905907	chr1	22858097	22905907			20	
chr1_22905907_22956887	chr1	22905907	22956887			20	
chr1_22956887_23184826	chr1	22956887	23184826			20	
chr1_23184826_23252434	chr1	23184826	23252434			20	
chr1_23252434_23389521	chr1	23252434	23389521			20	
chr1_23389521_23505348	chr1	23389521	23505348			20	
chr1_23505348_23559582	chr1	23505348	23559582			20	
chr1_23559582_23582700	chr1	23559582	23582700			20	
chr1_23582700_23609883	chr1	23582700	23609883			20	
chr1_23609883_23642846	chr1	23609883	23642846			20	
chr1_23642846_23691734	chr1	23642846	23691734			20	
chr1_23691734_23880376	chr1	23691734	23880376			20	
chr1_23880376_24063887	chr1	23880376	24063887			20	
chr1_24063887_24092278	chr1	24063887	24092278			20	
chr1_24092278_24121857	chr1	24092278	24121857			20	
chr1_24121857_24141939	chr1	24121857	24141939			20	
chr1_24141939_24181986	chr1	24141939	24181986			20	
chr1_24181986_24199645	chr1	24181986	24199645			20	
chr1_24199645_24209542	chr1	24199645	24209542			20	
chr1_24209542_24248855	chr1	24209542	24248855			20	
chr1_24248855_24321278	chr1	24248855	24321278			20	
chr1_24321278_24336413	chr1	24321278	24336413			20	
chr1_24336413_24471893	chr1	24336413	24471893			20	
chr1_24471893_24552944	chr1	24471893	24552944			20	
chr1_24552944_24577764	chr1	24552944	24577764			20	
chr1_24577764_24688927	chr1	24577764	24688927			20	
chr1_24688927_24859178	chr1	24688927	24859178			20	
chr1_24859178_24897519	chr1	24859178	24897519			20	
chr1_24897519_24939955	chr1	24897519	24939955			20	
chr1_24939955_24980073	chr1	24939955	24980073			20	
chr1_24980073_25016163	chr1	24980073	25016163			20	
chr1_25016163_25073178	chr1	25016163	25073178			20	
chr1_25073178_25098398	chr1	25073178	25098398			20	
chr1_25098398_25187440	chr1	25098398	25187440			20	
chr1_25187440_25412573	chr1	25187440	25412573			20	
chr1_25412573_25553165	chr1	25412573	25553165			20	
chr1_25553165_25582314	chr1	25553165	25582314			20	
chr1_25582314_25677265	chr1	25582314	25677265			20	
chr1_25677265_25746952	chr1	25677265	25746952			20	
chr1_25746952_25785479	chr1	25746952	25785479			20	
chr1_25785479_25923568	chr1	25785479	25923568			20	
chr1_25923568_26011814	chr1	25923568	26011814			20	
chr1_26011814_26061134	chr1	26011814	26061134			20	
chr1_26061134_26154619	chr1	26061134	26154619			20	
chr1_26154619_26201372	chr1	26154619	26201372			20	
chr1_26201372_26354781	chr1	26201372	26354781			20	
chr1_26354781_26389381	chr1	26354781	26389381			20	
chr1_26389381_26420316	chr1	26389381	26420316			20	
chr1_26420316_26576921	chr1	26420316	26576921			20	
chr1_26576921_26661155	chr1	26576921	26661155			20	
chr1_26661155_26888588	chr1	26661155	26888588			20	
chr1_26888588_27076911	chr1	26888588	27076911			20	
chr1_27076911_27199878	chr1	27076911	27199878			20	
chr1_27199878_27353463	chr1	27199878	27353463			20	
chr1_27353463_27372521	chr1	27353463	27372521			20	
chr1_27372521_27513318	chr1	27372521	27513318			20	
chr1_27513318_27644093	chr1	27513318	27644093			20	
chr1_27644093_27872742	chr1	27644093	27872742			20	
chr1_27872742_27946911	chr1	27872742	27946911			20	
chr1_27946911_28097691	chr1	27946911	28097691			20	
chr1_28097691_28132596	chr1	28097691	28132596			20	
chr1_28132596_28307639	chr1	28132596	28307639			20	
chr1_28307639_28567060	chr1	28307639	28567060			20	
chr1_28567060_28748471	chr1	28567060	28748471			20	
chr1_28748471_28843366	chr1	28748471	28843366			20	
chr1_28843366_28862203	chr1	28843366	28862203			20	
chr1_28862203_29134621	chr1	28862203	29134621			20	
chr1_29134621_29254578	chr1	29134621	29254578			20	
chr1_29254578_29306828	chr1	29254578	29306828			20	
chr1_29306828_29359145	chr1	29306828	29359145			20	
chr1_29359145_29392143	chr1	29359145	29392143			20	
chr1_29392143_29446294	chr1	29392143	29446294			20	
chr1_29446294_29467735	chr1	29446294	29467735			20	
chr1_29467735_29509484	chr1	29467735	29509484			20	
chr1_29509484_29545980	chr1	29509484	29545980			20	
chr1_29545980_29603446	chr1	29545980	29603446			20	
chr1_29603446_29642591	chr1	29603446	29642591			20	
chr1_29642591_29689221	chr1	29642591	29689221			20	
chr1_29689221_29705588	chr1	29689221	29705588			20	
chr1_29705588_29726287	chr1	29705588	29726287			20	
chr1_29726287_29772566	chr1	29726287	29772566			20	
chr1_29772566_29807341	chr1	29772566	29807341			20	
chr1_29807341_29834519	chr1	29807341	29834519			20	
chr1_29834519_29850961	chr1	29834519	29850961			20	
chr1_29850961_29884765	chr1	29850961	29884765			20	
chr1_29884765_29897989	chr1	29884765	29897989			20	
chr1_29897989_29930511	chr1	29897989	29930511			20	
chr1_29930511_29986565	chr1	29930511	29986565			20	
chr1_29986565_30048724	chr1	29986565	30048724			20	
chr1_30048724_30067736	chr1	30048724	30067736			20	
chr1_30067736_30105771	chr1	30067736	30105771			20	
chr1_30105771_30135638	chr1	30105771	30135638			20	
chr1_30135638_30182822	chr1	30135638	30182822			20	
chr1_30182822_30209893	chr1	30182822	30209893			20	
chr1_30209893_30272421	chr1	30209893	30272421			20	
chr1_30272421_30320249	chr1	30272421	30320249			20	
chr1_30320249_30344855	chr1	30320249	30344855			20	
chr1_30344855_30418708	chr1	30344855	30418708			20	
chr1_30418708_30445177	chr1	30418708	30445177			20	
chr1_30445177_30471515	chr1	30445177	30471515			20	
chr1_30471515_30515518	chr1	30471515	30515518			20	
